epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8298,2.37751,3.9504,1.88511,0.00437,1,0.11974,0.04875,1.28649,3.51654,1.41239,3.334e-05,3.334e-05,3.334e-05
2,29.6036,1.82471,3.48746,1.49627,0.00409,1,0.36534,0.25988,0.96986,3.2181,1.00348,8.25248e-05,8.25248e-05,8.25248e-05
3,43.7776,1.0623,2.91917,1.13495,0.00397,1,0.81414,0.51841,1.19162,3.21022,1.02555,0.000130719,0.000130719,0.000130719
4,59.2377,0.94837,2.22101,1.08379,0.00371,1,0.83301,0.68006,0.686,2.84988,0.90435,0.000177924,0.000177924,0.000177924
5,73.9457,0.84757,1.891,1.02364,0.00343,1,0.87714,0.70086,0.72225,2.76676,0.91429,0.000224138,0.000224138,0.000224138
6,88.7973,0.86241,1.61332,0.96418,0.00333,1,0.995,0.77106,0.7834,2.71466,0.88468,0.000269362,0.000269362,0.000269362
7,103.361,0.84855,1.38019,0.93535,0.00343,1,0.96083,0.78458,0.70359,2.7329,0.83925,0.000313596,0.000313596,0.000313596
8,116.822,0.8027,1.36598,0.90809,0.00354,1,0.995,0.82892,0.70411,2.78635,0.83822,0.00035684,0.00035684,0.00035684
9,130.437,0.72619,1.39789,0.92851,0.00358,1,0.995,0.80056,0.71453,2.75071,0.84691,0.000399093,0.000399093,0.000399093
10,143.604,0.80921,1.21709,0.89762,0.0036,1,0.995,0.8364,0.66718,2.71839,0.83328,0.000440356,0.000440356,0.000440356
11,157.567,0.72778,1.17019,0.90726,0.00351,1,0.995,0.80221,0.76827,2.83725,0.85769,0.000480629,0.000480629,0.000480629
12,173.332,0.72773,1.14859,0.91312,0.00344,1,0.97143,0.82725,0.71162,2.78819,0.82832,0.000519912,0.000519912,0.000519912
13,187.79,0.76397,1.12755,0.9416,1,0.41198,0.995,0.81032,0.73243,2.51593,0.82942,0.000558205,0.000558205,0.000558205
14,201.387,0.70537,1.10322,0.90948,0.0062,1,0.94045,0.74186,0.87182,2.68794,0.86023,0.000595507,0.000595507,0.000595507
15,214.649,0.73165,1.09116,0.90903,0.97638,0.5,0.4975,0.39835,1.52343,3.29216,1.12413,0.00063182,0.00063182,0.00063182
16,227.988,0.67825,1.07966,0.88509,1,0.44818,0.53238,0.43117,1.22308,3.1749,0.96484,0.000667142,0.000667142,0.000667142
17,240.854,0.77407,1.07128,0.92066,0.9967,0.79281,0.84554,0.63462,1.10115,2.61705,0.89486,0.000701474,0.000701474,0.000701474
18,254.15,0.71531,1.08303,0.90907,0.97767,0.81163,0.97833,0.68808,1.00691,2.38733,0.87591,0.000734815,0.000734815,0.000734815
19,268.401,0.70989,1.0223,0.91748,0.83831,0.6,0.75643,0.56711,1.10331,2.52613,0.88501,0.000767167,0.000767167,0.000767167
20,283.098,0.70503,1.06722,0.88704,0.95549,0.5,0.63,0.43065,1.30971,2.71098,0.95517,0.000798528,0.000798528,0.000798528
21,297.565,0.73753,0.97281,0.87057,0.94886,0.63986,0.82119,0.65666,0.92956,2.39324,0.84983,0.000828899,0.000828899,0.000828899
22,318.713,0.68751,0.97695,0.9006,0.97318,0.77469,0.90611,0.6714,1.04198,2.21891,0.88096,0.00085828,0.00085828,0.00085828
23,334.391,0.6095,0.88099,0.8738,0.96261,0.8,0.94643,0.64102,1.29885,2.03718,0.95324,0.000886671,0.000886671,0.000886671
24,349.508,0.63427,0.94257,0.90198,0.94862,1,0.995,0.76367,0.93558,1.6452,0.84288,0.000914071,0.000914071,0.000914071
25,365.915,0.65661,0.92487,0.89329,0.95578,1,0.995,0.81628,0.73783,1.44844,0.82914,0.000940481,0.000940481,0.000940481
26,381.624,0.66808,0.95276,0.89355,0.93636,1,0.995,0.79066,0.79679,1.49445,0.84728,0.000965901,0.000965901,0.000965901
27,397.298,0.66384,0.91476,0.87273,0.93293,1,0.995,0.81288,0.79515,1.41009,0.86813,0.000990331,0.000990331,0.000990331
