                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0364,                 3.4492,                 1.7822,                0.00333,                      1,                0.75917,                 0.4687,                0.93971,                 2.8722,                 1.0628,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.1523,                 2.5075,                 1.1836,                0.00333,                      1,                0.99147,                0.60079,                 1.2482,                 2.7715,                 1.0419,             0.00013861,             0.00013861,             0.00013861
                      3,                0.85664,                 1.6485,                 1.0167,                0.35036,                      1,                0.99147,                0.61438,                 1.0969,                 2.3795,                 1.0899,             0.00021564,             0.00021564,             0.00021564
                      4,                0.72316,                 1.2533,                0.95361,                0.00333,                      1,                0.98553,                0.79806,                0.70532,                 2.4428,                0.96457,             0.00029109,             0.00029109,             0.00029109
                      5,                0.74117,                  1.171,                0.96362,                0.01004,                      1,                  0.983,                0.68644,                0.77666,                 2.4725,                0.88944,             0.00036495,             0.00036495,             0.00036495
                      6,                0.73103,                 1.1127,                0.97956,                0.15805,                      1,                  0.995,                0.85425,                0.62297,                 2.2943,                0.87451,             0.00043723,             0.00043723,             0.00043723
                      7,                0.71146,                 1.0844,                0.95859,                      1,                0.96716,                  0.995,                0.82543,                0.69622,                 2.0989,                0.91663,             0.00050792,             0.00050792,             0.00050792
                      8,                0.72588,                 1.0555,                  0.989,                      1,                0.96918,                  0.995,                0.90226,                0.60793,                 1.9585,                0.82877,             0.00057703,             0.00057703,             0.00057703
                      9,                0.68816,                0.96058,                0.92225,                      1,                0.98922,                  0.995,                 0.8978,                0.58232,                 1.8837,                0.81775,             0.00064456,             0.00064456,             0.00064456
                     10,                0.63414,                0.98167,                0.92813,                      1,                 0.9705,                  0.995,                0.90148,                0.62721,                 1.8467,                0.86241,              0.0007105,              0.0007105,              0.0007105
                     11,                0.67881,                 0.9582,                  0.933,                      1,                0.97304,                  0.995,                0.88485,                0.67301,                  1.939,                0.88626,             0.00077486,             0.00077486,             0.00077486
                     12,                0.67353,                0.92886,                0.93374,                      1,                0.97463,                  0.995,                0.85209,                0.73719,                 1.9722,                0.90812,             0.00083763,             0.00083763,             0.00083763
                     13,                0.64291,                0.89488,                0.90659,                      1,                0.99213,                  0.995,                 0.7834,                0.96278,                 1.5461,                0.93142,             0.00089882,             0.00089882,             0.00089882
                     14,                0.68365,                0.89922,                 0.9735,                0.99004,                 0.9375,                0.99147,                0.79372,                0.94538,                 1.5135,                0.91436,             0.00095843,             0.00095843,             0.00095843
                     15,                 0.5976,                0.81214,                0.92003,                0.99185,                 0.9375,                0.99147,                0.80016,                0.98851,                 1.6919,                0.96655,              0.0010165,              0.0010165,              0.0010165
                     16,                0.85156,                0.96772,                 1.0076,                      1,                0.99187,                  0.995,                0.81237,                  1.015,                 1.7297,                 0.9751,              0.0010729,              0.0010729,              0.0010729
                     17,                0.72665,                  0.897,                0.96396,                      1,                0.99073,                  0.995,                0.84379,                0.85262,                 1.5781,                 1.0457,              0.0011277,              0.0011277,              0.0011277
                     18,                0.65683,                   0.92,                0.95653,                      1,                0.98372,                  0.995,                0.79619,                 0.8495,                 1.2105,                0.92387,               0.001181,               0.001181,               0.001181
                     19,                0.67394,                0.89632,                0.98401,                0.99511,                      1,                  0.995,                0.76386,                0.97806,                  1.198,                0.94817,              0.0012327,              0.0012327,              0.0012327
                     20,                0.65122,                0.86738,                0.94014,                0.99334,                      1,                  0.995,                0.85096,                0.82705,                 1.1748,                0.85871,              0.0012828,              0.0012828,              0.0012828
                     21,                0.69492,                0.86628,                0.95547,                0.99529,                      1,                  0.995,                0.84705,                0.69928,                0.95707,                 0.8221,              0.0013313,              0.0013313,              0.0013313
                     22,                0.71691,                0.87063,                 0.9396,                0.99338,                      1,                  0.995,                 0.7968,                0.88152,                 1.0434,                0.89005,              0.0013783,              0.0013783,              0.0013783
                     23,                0.71009,                0.82524,                0.91731,                0.99598,                      1,                  0.995,                0.83014,                0.73325,                 1.0128,                0.88684,              0.0014236,              0.0014236,              0.0014236
                     24,                0.65695,                0.83963,                0.92325,                0.99482,                      1,                  0.995,                0.82165,                0.67883,                0.90405,                0.84946,              0.0014674,              0.0014674,              0.0014674
                     25,                0.64813,                0.78842,                0.91399,                      1,                0.97665,                  0.995,                0.83863,                0.72209,                0.86849,                0.82386,              0.0015096,              0.0015096,              0.0015096
                     26,                0.70631,                0.80691,                0.93014,                0.93981,                      1,                0.99147,                0.85795,                0.65481,                0.94977,                0.84679,               0.001505,               0.001505,               0.001505
                     27,                0.65756,                0.80073,                0.91212,                 0.9405,                0.98843,                0.99147,                0.86296,                0.69747,                 1.0643,                 0.8653,              0.0014852,              0.0014852,              0.0014852
                     28,                0.74353,                0.83669,                0.94399,                      1,                0.99866,                  0.995,                0.86797,                0.78431,                0.95884,                0.89969,              0.0014654,              0.0014654,              0.0014654
                     29,                0.59221,                0.77882,                0.88275,                0.99498,                      1,                  0.995,                0.83122,                0.78702,                0.91087,                0.85395,              0.0014456,              0.0014456,              0.0014456
                     30,                0.57134,                0.71328,                0.91907,                0.99396,                      1,                  0.995,                0.83409,                0.72362,                0.94844,                0.85049,              0.0014258,              0.0014258,              0.0014258
                     31,                0.63489,                 0.7368,                0.92804,                0.99298,                      1,                  0.995,                0.83169,                0.66525,                 1.0106,                0.84128,               0.001406,               0.001406,               0.001406
                     32,                0.62691,                0.71616,                0.89879,                0.99694,                      1,                  0.995,                0.79212,                0.67587,                 1.0253,                0.86116,              0.0013862,              0.0013862,              0.0013862
                     33,                0.60201,                0.71867,                0.90094,                      1,                0.99553,                  0.995,                0.85972,                0.61883,                0.93682,                0.88268,              0.0013664,              0.0013664,              0.0013664
                     34,                0.56712,                0.69764,                 0.8844,                0.99486,                 0.9375,                0.99147,                0.85885,                0.64435,                0.94181,                0.90431,              0.0013466,              0.0013466,              0.0013466
                     35,                0.54218,                 0.6537,                 0.8919,                0.99488,                 0.9375,                0.98833,                0.89609,                0.53887,                0.73278,                0.87044,              0.0013268,              0.0013268,              0.0013268
                     36,                0.57122,                0.66789,                0.90743,                      1,                0.99666,                  0.995,                0.87889,                0.57236,                0.72191,                0.86658,               0.001307,               0.001307,               0.001307
                     37,                0.50393,                0.61104,                0.86762,                      1,                0.99842,                  0.995,                0.86688,                0.60356,                 0.7151,                0.88507,              0.0012872,              0.0012872,              0.0012872
                     38,                0.55888,                0.63637,                0.89786,                0.99957,                      1,                  0.995,                0.85537,                0.65108,                0.72602,                0.90402,              0.0012674,              0.0012674,              0.0012674
                     39,                0.52099,                0.60819,                0.89833,                0.99731,                      1,                  0.995,                0.86602,                0.60432,                0.69477,                0.89723,              0.0012476,              0.0012476,              0.0012476
                     40,                0.56428,                0.64283,                0.89776,                0.99655,                      1,                  0.995,                0.85556,                0.58155,                0.65441,                0.86494,              0.0012278,              0.0012278,              0.0012278
                     41,                0.51966,                0.60971,                0.86625,                 0.9967,                      1,                  0.995,                0.84304,                 0.6538,                0.67966,                0.86916,               0.001208,               0.001208,               0.001208
                     42,                0.55935,                0.58904,                0.89552,                0.99661,                      1,                  0.995,                0.82378,                0.77256,                0.73572,                 0.9052,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.5794,                 0.6306,                0.87832,                0.99633,                      1,                  0.995,                0.82333,                0.75921,                0.72504,                0.87947,              0.0011684,              0.0011684,              0.0011684
                     44,                0.54981,                0.62863,                 0.8886,                0.99658,                      1,                  0.995,                0.88925,                0.56543,                0.66565,                0.81477,              0.0011486,              0.0011486,              0.0011486
                     45,                0.52468,                0.61267,                 0.8929,                 0.9965,                      1,                  0.995,                0.88088,                0.52879,                0.63423,                0.81049,              0.0011288,              0.0011288,              0.0011288
                     46,                0.53756,                0.58857,                0.90423,                 0.9963,                      1,                  0.995,                0.91705,                0.56861,                 0.6564,                0.82351,               0.001109,               0.001109,               0.001109
