epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.96615,2.64286,3.99241,2.04574,0.00333,1,0.863,0.37359,1.17599,2.96118,1.36058,6e-05,6e-05,6e-05
2,9.4922,1.71465,3.29147,1.62415,0.00333,1,0.9125,0.5774,1.16884,2.9068,1.11914,0.000137228,0.000137228,0.000137228
3,13.84,1.10789,2.48773,1.20604,0.00333,1,0.995,0.4403,1.47246,2.90135,1.17923,0.000211288,0.000211288,0.000211288
4,18.6666,1.17942,2.21916,1.19746,0.00333,1,0.995,0.48125,1.1577,2.5916,1.0195,0.00028218,0.00028218,0.00028218
5,22.8871,1.19713,1.99174,1.16087,0.60257,1,0.995,0.56028,1.25884,2.57142,1.23201,0.000349904,0.000349904,0.000349904
6,27.1179,1.14945,1.53509,1.09885,0.00333,1,0.83,0.5535,1.298,2.47656,1.26137,0.00041446,0.00041446,0.00041446
7,33.3789,1.16657,1.56654,1.04553,0.00333,1,0.83,0.5535,1.298,2.47656,1.26137,0.000475848,0.000475848,0.000475848
8,39.3834,0.96695,1.85237,0.99977,0.00333,1,0.47393,0.365,0.91536,2.48631,0.96156,0.000534068,0.000534068,0.000534068
9,45.335,0.99489,1.45654,0.9768,0.00333,1,0.80643,0.61686,1.15294,2.67801,1.01872,0.00058912,0.00058912,0.00058912
10,50.6748,0.77069,1.43542,0.92722,0.00333,1,0.80643,0.61686,1.15294,2.67801,1.01872,0.000641004,0.000641004,0.000641004
11,55.5191,0.84504,1.52981,0.95269,0.41016,1,0.995,0.7635,1.15148,2.41089,1.04171,0.00068972,0.00068972,0.00068972
12,60.4161,0.79734,1.33072,0.9775,0.41016,1,0.995,0.7635,1.15148,2.41089,1.04171,0.000735268,0.000735268,0.000735268
13,65.3019,0.79647,1.19224,0.92026,0.96471,1,0.995,0.697,1.02537,1.89984,0.93417,0.000777648,0.000777648,0.000777648
14,70.558,0.89558,1.16887,0.99892,0.96471,1,0.995,0.697,1.02537,1.89984,0.93417,0.00081686,0.00081686,0.00081686
15,75.4847,0.90776,1.24745,0.95357,1,0.9715,0.995,0.68179,1.07538,1.7103,1.06322,0.000852904,0.000852904,0.000852904
16,79.8551,0.90805,1.38971,0.99431,1,0.9715,0.995,0.68179,1.07538,1.7103,1.06322,0.00088578,0.00088578,0.00088578
17,84.3848,0.79444,1.21642,0.94125,1,0.9715,0.995,0.68179,1.07538,1.7103,1.06322,0.000915488,0.000915488,0.000915488
18,89.4168,0.93079,1.11296,0.9566,1,0.97051,0.995,0.6645,1.35787,1.66811,1.15672,0.000942028,0.000942028,0.000942028
19,94.5814,0.91587,1.30204,1.01646,1,0.97051,0.995,0.6645,1.35787,1.66811,1.15672,0.0009654,0.0009654,0.0009654
20,99.1727,1.02274,1.3383,0.9831,1,0.97051,0.995,0.6645,1.35787,1.66811,1.15672,0.000985604,0.000985604,0.000985604
21,103.911,0.85715,1.15163,0.97308,1,0.97051,0.995,0.6645,1.35787,1.66811,1.15672,0.00100264,0.00100264,0.00100264
22,108.544,0.90332,1.22519,0.94646,1,0.98518,0.995,0.664,1.07191,1.48906,1.09377,0.00101651,0.00101651,0.00101651
23,112.947,0.93884,1.21465,0.97056,1,0.98518,0.995,0.664,1.07191,1.48906,1.09377,0.00102721,0.00102721,0.00102721
24,117.49,0.80397,1.22598,0.96227,1,0.98518,0.995,0.664,1.07191,1.48906,1.09377,0.00103474,0.00103474,0.00103474
25,121.98,0.74991,1.20423,0.93633,1,0.98518,0.995,0.664,1.07191,1.48906,1.09377,0.0010391,0.0010391,0.0010391
